172,committee,ủy ban
173,clinic,phóm khám
174,comprehensive,toàn diện
175,approached,tiếp cận
176,distribute,phân phối
177,withdrawals,rút tiền
178,necessary,cần thiết
179,reward,phần thưởng
180,solution,giải pháp
181,routine,thường lệ
182,debating,tranh luận
183,outdated,lỗi thời
184,demolishes,phá hủy
185,inspection,kiểm tra
186,warehouse,nhà kho
187,preserves,bảo quản
188,political,chính trị
189,endition,ấn bản
190,entire,toàn bộ
191,approved,được phê duyệt
192,accustomed,quen thuộc
193,tentative,dự kiến
194,mutually,lẫn nhau
195,absolutely,hoàn toàn
196,reluctantly,miễn cưỡng
197,donors,đóng góp
198,restoration,phục hồi
199,interns,thực tập
200,conducted,tiến hành
201,revealed,tiết lộ
202,inventory,hàng tồn kho
203,nationwide,toàn quốc
204,convinced,thuyết phục
205,circulated,lưu hành
206,brochure,tập tài liệu
207,negotiations,thương lượng
208,demonstrated,chứng minh
209,layout,bố cục
210,relatively,tương đối
211,overtime,làm thêm giờ
212,grant,trợ cấp
213,independent,độc lập
214,consumption,tiêu thụ
215,depart,khởi hành
216,sustainable,bền vững
217,affixed,gắn
218,generated,tạo ra
219,contain,chứa đựng
220,accurate,chính xác
221,resulted,kết quả
222,devices,thiết bị
223,indentified,xác định
224,guests,khách
225,vendors,nhà cung cấp
226,confident,tự tin
227,accommodate,thích hợp
228,extend,mở rộng
229,grocery store,cửa hàng tạp hóa
230,admired,ngưỡng mộ
231,malfunction,trục trặc
232,inserted,chèn vào
233,incorrectly,không chính xác
234,component,thành phần
235,forecast,dự báo
236,investigation,điều tra
237,assurances,bảo đảm
238,prove,chứng minh
239,patient,bệnh nhân
240,attracts,thu hút
241,exterior,bên ngoài
242,privacy,bảo mật
243,decade,thập kỷ
244,waste,lãng phí
245,across,"qua,băng qua"
246,physicians,bác sĩ
247,delicuos,ngon
248,convent,phát minh
249,encouraged,khuyến khích
250,community,cộng đồng
251,negative,tiêu cực
252,caused ,gây ra
253,revenues,doanh thu
254,peak season,mùa cao điểm
255,compare,so sánh
256,negotiators,đàm phán
257,significant,đáng kể
258,occupancy,"chiếm, đóng"
259,competition,cuộc thi
260,disposable,loại bỏ
261,numreous,đa dạng
262,expired,hết hạn
263,anonymous,dđồng ý
264,accomplishment,thành tựu
265,recovery,phục hồi
266,vacancy,"vị trí, thiếu hụt"
267,productivity,năng suất
268,demonstated, chứng minh
269,occasions,dịp
270,dedicated,cống hiến
271,eligible,đủ điều kiện
272,figure,"số liệu, hình, nhân vật"
273,preservation,bảo tồn
274,debate,tranh luận
275,complicated,phức tạp
276,acquiring,mua lại
277,field ,lĩnh vực
278,proven,đaã được chứng minh
279,generators,máy phát
280,suitable,phù hợp
281,widespread,lan tràn
282,cautious,thận trọng
283,underwent,trải qua
284,courteous,lịch sự
285,influenced,ảnh hưởng
286,manually,thủ công
287,insecurely,không an toàn
288,destination,điểm đến
289,observation,quan sát
290,laundry,giặt khô
291,generations,thế hệ
292,escorting,sắp xếp
293,apparel,trang phục
294,demaged,thiệt hại
295,operations,hoạt động
296,resumed,tiếp tục
297,licenses,giấy phép
298,inclines,từ chối
299,attempts,nỗ lực
300,unique,độc đáo
301,hesitate,do dự
302,assume,giả định
303,against,chống lại
304,potencially,tiềm năng
305,dangerous,nguy hiểm
306,spread of,rộng rãi
307,comsumption,tiêu thụ
308,respective,tương ứng
309,pick up,nhặt lên
310,take a break,nghỉ ngơi 1 lát
311,tune,điều chỉnh
312,institation,toổ chức
313,relief,sự thay đổi
314,fold,gấp lại
315,substatial,đáng kể
316,renewal,đổi mới
317,adverse effect,ảnh hưởng xấu
318,various impact,tác động khác nhau
319,promote,"quảng cáo, đẩy mạnh"
320,article,bài abos
321,route,tuyến đường
322,agent,nhân viên
323,attendant,người phục vụ
324,waiter,bồi bàn
325,implement,tiến hành
326,journey,nhà báo
327,banquet,tiệc đứng
328,except,ngoại trừ
329,salesperson,người bán hàng
330,lobby,tiền sảnh
331,sign ,"biểu hiện, ký tên"
332,in charge of,chịu trách nhiệm
333,colleage,đồng nghiệp
334,on business,đi công tác
335,construction,xây dựng
336,presentation,bài thuyết trình
337,instruction,chiỉ dẫn
338,corner,góc
339,as soon as,ngay khi
340,receptionist,lễ tân
341,nearly ,gần như
342,safety deposit,két an toàn
343,fitness,"thể dục, thể hình"
344,calculating,tính toán
345,somewhat complex,hoơi phức tạp
346,verify,xác minh
347,resistance,kháng cự
348,division,bộ phận
349,waterfull,thác nước
350,purchase,mua   
351,branch,chi nhánh
352,short staffed,thiếu nhân viên
353,replace,thay thế
354,fix,sửa chữa
355,proof,chuứng cứ
356,warranty,bảo hành
357,speech,bài phát biểu
358,speaker,diễn giả
359,real easte,bất động sản
360,guest,khách
361,occupation,nghề nghiệp
362,maintaince,bảo trì
363,factory,nhà máy
364,clerk,nhân viên
365,imply,nguụ ý
366,represent,đại diện
367,introduce,giới thiệu
368,tenant,người thuê nhà
369,conversation,cuộc hội thoại
370,most likely,có khả năng nhất
371,supply store,cửa hàng bách hóa
372,raise,tăng lương
373,recommend,"đề nghị, khuyến khích"
374,charity,từ thiện
375,sponsor,từ thiện
376,revise,chỉnh sửa
377,approve,phê duyệt
378,decorate,trang trí
379,postpone,trì hoãn
380,improve,cải thiện
381,landscape,làm vườn
382,sculture,điêu khắc
383,recognize,nhâận ra
384,aircraft,máy bay
385,transportation,phương tiện vận chuyển
386,renovate,nâng cấp
387,guide,sách hướng dẫn
388,cart,xe đẩy
389,boat,thuyền
390,lader,thang
391,wheelbarrow,xe cút kít
392,sink,bồn rửa tay
393,bench,ghế dài
394,point at,chỉ vào
395,put on,"đeo, mặc, đội"
396,casting a shadow,trải bóng
397,push,đẩy
398,instument,"dụng cụ, nhạc cụ"
399,merchandise,hàng hóa
400,jewellery,trang sức
401,examine,xem xét
