	word	translate
135	held	t? ch?c
136	provide	cung c?p
137	associate	h?i viên
138	bring	"mang,vác"
139	sign up	??ng ký
140	celebrate	l? k? ni?m
141	achieve	thành t?u
142	retire	ngh? h?u
143	responsible	ch?u trách nhi?m
144	merger	sát nh?p
145	contribute	?óng góp
146	human resource	ngu?n nhân s?
147	additional	thêm
148	follow	theo dõi
149	special	??c bi?t
150	discount	gi?m giá
151	arrange	s?p x?p
152	appointment	cu?c h?n
153	staff	nhân viên
154	reduce	gi?m giá
155	energy	n?ng l??ng
156	advantage	l?i th?
157	perform	th?c hi?n
158	official	chính th?c
159	instead of	thay vì
160	schedule	l?ch trình
161	acount	tài kho?n
162	department	"b? ph?n,phòng ban"
163	change	thay ??i
164	determine	xác ??nh
165	normal	bình th??ng
166	hardly	hi?m khi
167	weaknesses	?i?m y?u
168	admire	ng??ng
169	appropriate	thích h?p
170	preference	s? thích
171	collection	b? s?u t?p
172	committee	?y ban
173	clinic	phóm khám
174	comprehensive	toàn di?n
175	approached	ti?p c?n
176	distribute	phân ph?i
177	withdrawals	rút ti?n
178	necessary	c?n thi?t
179	reward	ph?n th??ng
180	solution	gi?i pháp
181	routine	th??ng l?
182	debating	tranh lu?n
183	outdated	l?i th?i
184	demolishes	phá h?y
185	inspection	ki?m tra
186	warehouse	nhà kho
187	preserves	b?o qu?n
188	political	chính tr?
189	endition	?n b?n
190	entire	toàn b?
191	approved	???c phê duy?t
192	accustomed	quen thu?c
193	tentative	d? ki?n
194	mutually	l?n nhau
195	absolutely	hoàn toàn
196	reluctantly	mi?n c??ng
197	donors	?óng góp
198	restoration	ph?c h?i
199	interns	th?c t?p
200	conducted	ti?n hành
201	revealed	ti?t l?
202	inventory	hàng t?n kho
203	nationwide	toàn qu?c
204	convinced	thuy?t ph?c
205	circulated	l?u hành
206	brochure	t?p tài li?u
207	negotiations	th??ng l??ng
208	demonstrated	ch?ng minh
209	layout	b? c?c
210	relatively	t??ng ??i
211	overtime	làm thêm gi?
212	grant	tr? c?p
213	independent	??c l?p
214	consumption	tiêu th?
215	depart	kh?i hành
216	sustainable	b?n v?ng
217	affixed	g?n
218	generated	t?o ra
219	contain	ch?a ??ng
220	accurate	chính xác
221	resulted	k?t qu?
222	devices	thi?t b?
223	indentified	xác ??nh
224	guests	khách
225	vendors	nhà cung c?p
226	confident	t? tin
227	accommodate	thích h?p
228	extend	m? r?ng
229	grocery store	c?a hàng t?p hóa
230	admired	ng??ng m?
231	malfunction	tr?c tr?c
232	inserted	chèn vào
233	incorrectly	không chính xác
234	component	thành ph?n
235	forecast	d? báo
236	investigation	?i?u tra
237	assurances	b?o ??m
238	prove	ch?ng minh
239	patient	b?nh nhân
240	attracts	thu hút
241	exterior	bên ngoài
242	privacy	b?o m?t
243	decade	th?p k?
244	waste	lãng phí
245	across	"qua,b?ng qua"
246	physicians	bác s?
247	delicuos	ngon
248	convent	phát minh
249	encouraged	khuy?n khích
250	community	c?ng ??ng
251	negative	tiêu c?c
252	caused 	gây ra
253	revenues	doanh thu
254	peak season	mùa cao ?i?m
255	compare	so sánh
256	negotiators	?àm phán
257	significant	?áng k?
258	occupancy	"chi?m, ?óng"
259	competition	cu?c thi
260	disposable	lo?i b?
261	numreous	?a d?ng
262	expired	h?t h?n
263	anonymous	d??ng ý
264	accomplishment	thành t?u
265	recovery	ph?c h?i
266	vacancy	"v? trí, thi?u h?t"
267	productivity	n?ng su?t
268	demonstated	 ch?ng minh
269	occasions	d?p
270	dedicated	c?ng hi?n
271	eligible	?? ?i?u ki?n
272	figure	"s? li?u, hình, nhân v?t"
273	preservation	b?o t?n
274	debate	tranh lu?n
275	complicated	ph?c t?p
276	acquiring	mua l?i
277	field 	l?nh v?c
278	proven	?aã ???c ch?ng minh
279	generators	máy phát
280	suitable	phù h?p
281	widespread	lan tràn
282	cautious	th?n tr?ng
283	underwent	tr?i qua
284	courteous	l?ch s?
285	influenced	?nh h??ng
286	manually	th? công
287	insecurely	không an toàn
288	destination	?i?m ??n
289	observation	quan sát
290	laundry	gi?t khô
291	generations	th? h?
292	escorting	s?p x?p
293	apparel	trang ph?c
294	demaged	thi?t h?i
295	operations	ho?t ??ng
296	resumed	ti?p t?c
297	licenses	gi?y phép
298	inclines	t? ch?i
299	attempts	n? l?c
300	unique	??c ?áo
301	hesitate	do d?
302	assume	gi? ??nh
303	against	ch?ng l?i
304	potencially	ti?m n?ng
305	dangerous	nguy hi?m
306	spread of	r?ng rãi
307	comsumption	tiêu th?
308	respective	t??ng ?ng
309	pick up	nh?t lên
310	take a break	ngh? ng?i 1 lát
311	tune	?i?u ch?nh
312	institation	to? ch?c
313	relief	s? thay ??i
314	fold	g?p l?i
315	substatial	?áng k?
316	renewal	??i m?i
317	adverse effect	?nh h??ng x?u
318	various impact	tác ??ng khác nhau
319	promote	"qu?ng cáo, ??y m?nh"
320	article	bài abos
321	route	tuy?n ???ng
322	agent	nhân viên
323	attendant	ng??i ph?c v?
324	waiter	b?i bàn
325	implement	ti?n hành
326	journey	nhà báo
327	banquet	ti?c ??ng
328	except	ngo?i tr?
329	salesperson	ng??i bán hàng
330	lobby	ti?n s?nh
331	sign 	"bi?u hi?n, ký tên"
332	in charge of	ch?u trách nhi?m
333	colleage	??ng nghi?p
334	on business	?i công tác
335	construction	xây d?ng
336	presentation	bài thuy?t trình
337	instruction	chi? d?n
338	corner	góc
339	as soon as	ngay khi
340	receptionist	l? tân
341	nearly 	g?n nh?
342	safety deposit	két an toàn
343	fitness	"th? d?c, th? hình"
344	calculating	tính toán
345	somewhat complex	ho?i ph?c t?p
346	verify	xác minh
347	resistance	kháng c?
348	division	b? ph?n
349	waterfull	thác n??c
350	purchase	mua   
351	branch	chi nhánh
352	short staffed	thi?u nhân viên
353	replace	thay th?
354	fix	s?a ch?a
355	proof	chu?ng c?
356	warranty	b?o hành
357	speech	bài phát bi?u
358	speaker	di?n gi?
359	real easte	b?t ??ng s?n
360	guest	khách
361	occupation	ngh? nghi?p
362	maintaince	b?o trì
363	factory	nhà máy
364	clerk	nhân viên
365	imply	ngu? ý
366	represent	??i di?n
367	introduce	gi?i thi?u
368	tenant	ng??i thuê nhà
369	conversation	cu?c h?i tho?i
370	most likely	có kh? n?ng nh?t
371	supply store	c?a hàng bách hóa
372	raise	t?ng l??ng
373	recommend	"?? ngh?, khuy?n khích"
374	charity	t? thi?n
375	sponsor	t? thi?n
376	revise	ch?nh s?a
377	approve	phê duy?t
378	decorate	trang trí
379	postpone	trì hoãn
380	improve	c?i thi?n
381	landscape	làm v??n
382	sculture	?iêu kh?c
383	recognize	nhâ?n ra
384	aircraft	máy bay
385	transportation	ph??ng ti?n v?n chuy?n
386	renovate	nâng c?p
387	guide	sách h??ng d?n
388	cart	xe ??y
389	boat	thuy?n
390	lader	thang
391	wheelbarrow	xe cút kít
392	sink	b?n r?a tay
393	bench	gh? dài
394	point at	ch? vào
395	put on	"?eo, m?c, ??i"
396	casting a shadow	tr?i bóng
397	push	??y
398	instument	"d?ng c?, nh?c c?"
399	merchandise	hàng hóa
400	jewellery	trang s?c
401	examine	xem xét
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
